protein1,protein2,in_solution,cost
CREBBP,ETS2,,0.222954
CREBBP,SMAD4,,0.830932
CREBBP,EP300,,0.356256
CREBBP,E2F1,,0.378934
CREBBP,HDAC1,,0.402371
CREBBP,CEBPD,,0.549451
CREBBP,SMAD3,,0.0576634
CREBBP,CTNNB1,,0.410771
CREBBP,SOX9,,0.830932
CREBBP,CEBPA,,0.85922
CREBBP,EPAS1,,0.598835
CREBBP,STAT6,,0.33064
CREBBP,YWHAH,,0.85922
CREBBP,FGFR1,,0.598835
CREBBP,SP1,,0.298244
CREBBP,EGR1,,0.373779
CTNNB1,ESR1,,0.598835
CTNNB1,CREB1,,0.598835
CTNNB1,COPS3,,0.598835
CTNNB1,NFKB1,,0.332937
CTNNB1,CDH5,True,0.0776288
CTNNB1,IKBKB,,0.45648
CTNNB1,ATF2,,0.598835
CTNNB1,TCF4,True,0.0214639
CTNNB1,SMAD4,,0.598835
CTNNB1,EP300,,0.135718
CTNNB1,HDAC1,,0.194233
CTNNB1,SMAD3,,0.221602
CTNNB1,CCNA2,,0.45648
CTNNB1,CEBPA,,0.598835
CTNNB1,EPAS1,,0.598835
CTNNB1,FGFR1,True,0.410771
CTNNB1,SP1,,0.598835
CTNNB1,SIRT1,,0.598835
CTNNB1,EGR1,,0.598835
CTNNB1,KDR,,0.85922
PPP1CA,ESR1,,0.598835
PPP1CA,ELFN2,True,0.561127
PPP1CA,CREB1,,0.561127
PPP1CA,IKBKB,,0.410771
PPP1CA,ITGA4,,0.598835
PPP1CA,GRB2,,0.598835
PPP1CA,RB1,True,0.209228
PPP1CA,YWHAH,,0.654948
PPP1CA,PPP1R13L,True,0.427045
PDCD6IP,HLA-B,,0.598835
PDCD6IP,ITGA4,,0.598835
PDCD6IP,GRB2,,0.413476
PDCD6IP,TSG101,True,0.0466081
COL6A3,PDIA3,True,0.561127
TCF4,EP300,,0.410771
TCF4,SMOC1,True,0.443583
TCF4,TWIST2,True,0.443583
TGFB1,LAMB1,True,0.492989
TGFB1,SMAD3,,0.73224
FOXA2,NCOA1,True,0.594442
FOXA2,ONECUT1,True,0.45648
HLA-B,COPS3,,0.598835
HLA-B,B2M,,0.324128
FRS2,GRB2,True,0.0747418
FRS2,FGFR1,True,0.171422
B2M,GRB2,,0.594442
CEBPA,ESR1,,0.561127
CEBPA,NR3C1,,0.47306
CEBPA,CEBPB,True,0.317513
CEBPA,ATF2,,0.444259
CEBPA,SMAD4,,0.561127
CEBPA,EP300,,0.85922
CEBPA,HDAC1,,0.290357
CEBPA,RB1,,0.520073
CEBPA,CEBPD,,0.765937
CEBPA,SMAD3,,0.561127
CEBPA,ONECUT1,,0.538256
CEBPA,RUNX1,,0.598835
EGR1,CEBPB,True,0.323172
EGR1,EP300,True,0.185284
EGR1,SP1,,0.443981
NFKB1,ESR1,,0.323872
NFKB1,NR3C1,,0.33794
NFKB1,KLF5,True,0.571676
NFKB1,IKBKB,,0.243823
NFKB1,CEBPB,,0.538056
NFKB1,NCOA1,,0.376967
NFKB1,EP300,,0.138546
NFKB1,E2F1,,0.387249
NFKB1,HDAC1,,0.132777
NFKB1,STAT6,,0.441751
NFKB1,SP1,,0.286822
NFKB1,TP63,,0.598835
NFKB1,NFKBIZ,True,0.353722
CCNA2,E2F1,,0.281525
CCNA2,RB1,True,0.0707483
CCNA2,SP1,,0.243823
KRT40,MFAP1,True,0.392016
KLF5,ESR1,,0.45648
KLF5,ESR2,True,0.45648
KLF5,SMAD4,,0.598835
KLF5,EP300,True,0.276301
KLF5,HDAC1,,0.45648
KLF5,SMAD3,,0.598835
SMAD3,ESR1,,0.598835
SMAD3,NR3C1,,0.289938
SMAD3,CEBPB,,0.561127
SMAD3,ATF2,,0.398358
SMAD3,ESR2,,0.85922
SMAD3,SMAD4,,0.01038
SMAD3,GRB2,,0.598835
SMAD3,EP300,,0.0263479
SMAD3,HDAC1,,0.393241
SMAD3,CEBPD,,0.45648
SMAD3,SOX9,,0.598835
SMAD3,EPAS1,,0.427045
SMAD3,SP1,,0.0929716
SMAD3,TP63,,0.598835
SMAD3,SMARCC1,,0.598835
SMAD3,PPP1R12C,True,0.472754
SMAD3,RUNX1,,0.410771
IGFBP5,IGF1,True,0.561127
CREB1,NR3C1,,0.561127
CREB1,CEBPB,,0.45648
CREB1,POU2F1,True,0.45648
CREB1,EP300,True,0.06477
CREB1,HDAC1,,0.332937
CREB1,SOX9,,0.85922
CREB1,SIRT1,,0.598835
CREB1,ATF7IP,,0.594442
FOXA1,ONECUT1,True,0.561127
NR3C1,CEBPB,,0.443929
NR3C1,POU2F1,True,0.166659
NR3C1,NCOA1,True,0.163011
NR3C1,ETS2,,0.571676
NR3C1,EP300,,0.298244
NR3C1,HDAC1,,0.312498
NR3C1,TSG101,True,0.321609
NR3C1,YWHAH,True,0.30822
NR3C1,ONECUT1,,0.549451
NR3C1,SMARCC1,,0.520073
SDC1,FGF2,True,0.654948
SDC1,CXCL8,True,0.561127
POU2F1,ESR1,,0.561127
POU2F1,HDAC1,,0.537305
POU2F1,SP1,True,0.173236
SP1,ESR1,,0.049107
SP1,CEBPB,,0.298244
SP1,DNMT1,,0.598835
SP1,ESR2,,0.384055
SP1,SMAD4,,0.141656
SP1,GRB2,,0.598835
SP1,EP300,,0.0264913
SP1,E2F1,True,0.160158
SP1,HDAC1,,0.0160931
SP1,RB1,,0.298244
SP1,EPAS1,,0.410771
SP1,PPP1R13L,,0.45648
SP1,SMARCC1,,0.561127
SP1,ATF7IP,,0.162536
SP1,RUNX1,,0.598835
CDH5,FGA,True,0.561127
LAMA1,FBLN2,True,0.376967
LAMA1,PLAT,,0.561127
SAP30,HDAC1,True,0.0349369
IKBKB,COPS3,True,0.342428
IKBKB,TP63,,0.598835
IKBKB,SMARCC1,,0.598835
LAMB1,PDIA3,True,0.45648
DNMT1,E2F1,,0.654948
DNMT1,HDAC1,True,0.0587318
DNMT1,RB1,,0.264402
DNMT1,TSG101,,0.73985
DNMT1,SIRT1,True,0.284862
DNMT1,RUNX1,,0.44277
AEBP1,GRB2,True,0.594442
RB1,CEBPB,True,0.211006
RB1,ATF2,,0.384055
RB1,EP300,,0.268062
RB1,E2F1,True,0.0055502
RB1,HDAC1,,0.0113441
RB1,CEBPD,True,0.520073
RB1,SIRT1,,0.561127
RB1,PRDM2,True,0.295553
CEBPB,ESR1,,0.226952
CEBPB,ATF2,,0.520073
CEBPB,SMAD4,,0.263308
CEBPB,EP300,,0.274085
CEBPB,HDAC1,,0.410771
CEBPB,CEBPD,True,0.47306
CEBPB,STAT6,,0.830932
CEBPB,TP63,,0.598835
CEBPB,SMARCC1,True,0.402371
CEBPB,RUNX1,,0.561127
FGA,PLAT,True,0.376967
PPARA,NCOA1,True,0.197174
PPARA,EP300,,0.33726
PPARA,SIRT1,,0.45648
PPARA,RXRG,True,0.353669
SIRT1,ESR1,,0.598835
SIRT1,CIITA,True,0.475767
SIRT1,EP300,,0.410771
SIRT1,E2F1,,0.410771
SIRT1,EPAS1,,0.45648
E2F1,ESR1,,0.598835
E2F1,EP300,,0.298244
E2F1,HDAC1,,0.194233
E2F1,CEBPD,,0.598835
E2F1,IGF1,True,0.594442
E2F1,PRDM2,,0.561127
YWHAH,ESR1,,0.85922
YWHAH,ESR2,,0.85922
YWHAH,GRB2,,0.598835
GRB2,ESR1,,0.830932
GRB2,NKX2-1,,0.598835
GRB2,ITGA4,,0.598835
GRB2,EP300,,0.594442
GRB2,TSG101,,0.410771
GRB2,FGFR1,,0.85922
GRB2,KDR,,0.520073
GRB2,TP63,,0.85922
GRB2,SMARCC1,,0.598835
ETS2,EP300,True,0.266572
ETS2,TWIST2,True,0.409355
LAMA4,ATF7IP,True,0.63215
CEBPD,SMAD4,True,0.45648
CEBPD,EP300,,0.538056
CEBPD,HDAC1,True,0.332937
SMAD4,ESR1,,0.674854
SMAD4,ATF2,,0.369192
SMAD4,ESR2,,0.85922
SMAD4,EP300,,0.120001
SMAD4,HDAC1,,0.598835
SMAD4,S100A14,True,0.63215
SMAD4,ATF7IP,,0.326083
HDAC1,ESR1,,0.0735403
HDAC1,CIITA,,0.561127
HDAC1,EP300,,0.138546
HDAC1,DNMT3L,True,0.282438
HDAC1,NFE4,True,0.441751
HDAC1,MAD1L1,,0.501461
HDAC1,SMARCC1,,0.654948
HDAC1,RUNX1,,0.249941
FAM9B,TSG101,,0.392016
FAM9B,MFAP1,True,0.392016
S100A16,S100A14,True,0.263104
FGFR1,FGF2,True,0.0614061
TSG101,EP300,,0.441751
ETV4,EP300,True,0.520073
ETV4,TP63,True,0.598835
ING4,EGLN1,True,0.296081
ING4,EP300,,0.598835
NCOA1,ESR1,True,0.0146049
NCOA1,NKX2-1,,0.561127
NCOA1,ESR2,,0.0691169
NCOA1,CIITA,,0.45648
NCOA1,EP300,,0.318238
NCOA1,STAT6,True,0.0831664
PPBP,CXCR2,True,0.409982
EPAS1,EGLN1,True,0.115011
EPAS1,EP300,,0.241902
EPAS1,SMARCC1,,0.598835
IL4R,STAT6,True,0.257477
MFAP1,MAD1L1,True,0.443583
MFAP1,CEP55,True,0.443583
EP300,ESR1,,0.0272021
EP300,ATF2,,0.654948
EP300,ESR2,,0.391484
EP300,SOX9,True,0.286657
EP300,STAT6,,0.357984
EP300,USF2,,0.594442
EP300,PPP1R13L,,0.598835
EP300,USF1,,0.598835
EP300,CXCL8,,0.45648
EP300,TP63,,0.289938
EP300,PRDM2,,0.598835
EP300,RUNX1,,0.391484
PDIA3,ATF2,,0.598835
ESR1,ESR2,,0.141567
ESR1,USF1,,0.85922
ESR1,PRDM2,True,0.256084
IL16,PPP1R12C,True,0.425588
USF2,USF1,True,0.0776288
CXCR2,CXCL8,True,0.053099
PPP1R13L,TP63,,0.561127
SMARCC1,RUNX1,,0.598835
